,OldIndex,IssueDate,"Permitm,No.",Ward,Parcel,Address,Owner,Contractor,WorkDescription,Cost,SNPNeighborhood(partial),TypeofWork(partial),TypeofStructure(partial)
0,31,1/7/2015,14-B-03657,14,0052N00176000000,4800 FORBES AVE,Pennsylvania Higher Education Facilitiesauthority,MASCARO CONSTRUCTION COMPANY LP,"FOUNDATION PERMIT ONLY - FUTURE USE OF 3,600 SQUARE FOOT ONE STORY ADDITION WITH 3,600 SQUARE FOOT ROOF DECK FOR EDUCATIONAL CLASSROOM SPACE",100000.0,,,
1,65,1/14/2015,14-B-04121,22,0008J00030000000,100 ART ROONEY DR,Sports & Exhibition Auth Of Pittsburgh   <Br>Allegheny County,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR AND EXTERIOR RENOVATION TO ADD APPROXIMATELY 2986 SEATS, INTERIOR CLUB SPACE, COUNCOURSE, RESTROOM AND FOOD SERVICE. FINAL PLANS WILL INCLUDE EXTERIOR BIKE RACKS.",14526270.0,,,
2,286,2/12/2015,15-B-00339,22,0008C00300000000,4 ALLEGHENY CTR,Four Allegheny Associates Lp,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR DEMOLITION TO FLOORS 2, 5 AND 6 OF 10 STORY STRUCTURE",45000.0,,,
3,610,3/27/2015,14-B-03641,14,0052N00176000000,4800 FORBES AVE,Pennsylvania Higher Education Facilitiesauthority,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATION, EXTERIOR RENOVATION AND ",2129130.0,,,
4,907,4/30/2015,15-B-00942,2,0002E00184000000,501 GRANT ST,Div 501 Grant Limited Partnership,MASCARO CONSTRUCTION COMPANY LP,INTERIOR AND EXTERIOR RENOVATIONS,7474173.0,,,
5,914,5/1/2015,15-B-00326,23,0024P00216000000,950 PROGRESS ST,Buncher Company,MASCARO CONSTRUCTION COMPANY LP,INTERIOR DEMOLITION ONLY,1027380.0,,,
6,1238,6/3/2015,15-B-00817,2,0001D00032000000,600 PENN AVE,Pittsburgh Symphony Society,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 6298 SQ FT OF 5 STORY STRUCTURE (HEINZ HALL),950000.0,,,
7,2183,7/24/2015,15-B-01640,16,0030B00200000000,3400 S WATER ST,Upmc Presbyterian,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATIONS TO 9,400 SQ FT OF TWO STORY STRUCTURE",793186.0,,,
8,4250,10/1/2015,15-B-02084,2,0002E00184000A00,"501 GRANT ST, PITTSBURGH, PA 15219",501 GRANT STREET PARTNERS LLC,JOHN MASCARO,"INTERIOR RENOVATIONS TO 13,330 SQ FT ON THE 10TH AND 11TH FLOORS OF 11 STORY STRUCTURE",419502.0,,,
9,6185,12/4/2015,15-B-02436,3,0009R00194000000,"1435 BEDFORD, PITTSBURGH, PA",ENERGY INNOVATION CENTER LP,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 15880 SQ FT TO CREATE LAB SPACE ON 1ST FLOOR OF 7 & 3 STORY STRUCTURE,779000.0,,,
10,6917,1/6/2016,15-B-03000,23,0024P00216000000,"950 PROGRESS ST, PITTSBURGH, PA 15212",SB DEVELOPMENT LP,MASCARO CONSTRUCTION COMPANY LP,RENOVATION OF EXISTING 6-STORY STRUCTURE INTO 151 MULTI-FAMILY RESIDENTIAL UNITS WITH AMENITIES SPACES. INTERIOR RENOVATIONS. EXTERIOR RENOVATIONS TO INCLUDE FACADE RENOVATIONS AND NEW WINDOWS AND DOORS ON ALL SIDES. EXTERIOR AMENITY SPACE ON LOT 24-P-210 TO INCLUDE 4 FT PERIMETER FENCE; BOCCE COURT; FIRE PIT; PICNIC TABLE AND GRILLING. 155 OFF-SITE PARKING SPACES TO BE LOCATED IN THE GARAGE ON PARCEL 24-P-25.,17949350.0,,,
11,6952,1/7/2016,15-B-03640,2,0002B00051000000,"600 GRANT ST, PITTSBURGH, PA 15219",600 GS PROP LP,MASCARO CONSTRUCTION COMPANY LP,INSTALL VIDEO WALL IN CTR FOR CONNECTED HEALTH CARE OFFICE ON 60TH FLOOR OF 62 STORY STRUCTURE (UPMC),115000.0,,,
12,7216,1/20/2016,15-B-03831,2,0008S00168000000,"12 8TH ST, PITTSBURGH, PA 15222",GENERAL LABORERS & MATERIAL HANDLERS,PERFIDO WISKOPF WAGSTAFF GOETTEL,"ON A SIX STORY STRUCTURE, INTERIOR RENOVATIONS FOR TENANT FIT OUT ON THE THIRD AND FIFTH FLOORS FOR A TOTAL OF 15,124 SQ FT AND EXTERIOR RENOVATIONS FOR NEW WINDOWS IN EXISTING MASONARY OPENINGS",1300000.0,,,
13,7217,1/20/2016,15-B-03831,2,0008S00168000000,"12 8TH ST, PITTSBURGH, PA 15222",GENERAL LABORERS & MATERIAL HANDLERS,MASCARO CONSTRUCTION COMPANY LP,"ON A SIX STORY STRUCTURE, INTERIOR RENOVATIONS FOR TENANT FIT OUT ON THE THIRD AND FIFTH FLOORS FOR A TOTAL OF 15,124 SQ FT AND EXTERIOR RENOVATIONS FOR NEW WINDOWS IN EXISTING MASONARY OPENINGS",1300000.0,,,
14,7715,2/10/2016,15-B-03934,16,0030B00200000000,"3300 S WATER ST, PITTSBURGH, PA 15210",UPMC PRESBYTERIAN,MASCARO CONSTRUCTION COMPANY LP,EXTERIOR RENOVATIONS TO EXISTING ONE STORY STRUCTURE,1.0,,,
15,7796,2/12/2016,15-B-04055,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,"INTEGRITY DESIGN, LLC","IN A FOUR STORY STRUCTURE, INTERIOR RENOVATIONS ON THE THIRD FLOOR OF APPROXIMATELY 14,264 SQ FT",237000.0,,,
16,7797,2/12/2016,15-B-04055,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,MASCARO CONSTRUCTION COMPANY LP,"IN A FOUR STORY STRUCTURE, INTERIOR RENOVATIONS ON THE THIRD FLOOR OF APPROXIMATELY 14,264 SQ FT",237000.0,,,
17,8037,2/22/2016,15-B-03750,14,0052N00176000000,"4800 FORBES AVE, PITTSBURGH, PA 15213",PENNSYLVANIA HIGHER EDUCATION FACILITIESAUTHORITY,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS AND ONE NEW LOUVER ON EXTERIOR,1302281.0,,,
18,8102,2/24/2016,15-B-03932,22,0008J00021000000,"400 NORTH SHORE DR, PITTSBURGH, PA 15212",NORTH SHORE ENTERTAINMENT PARTNERS LP,MASCARO CONSTRUCTION COMPANY LP,INSTALL 11 FT BY 49 FT SCULPTURE IN PUBLIC PLAZA AREA,824666.0,,,
19,9210,3/30/2016,15-B-04057,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,IKM INCORPORATED,"ON A 32 STORY STRUCTURE, INTERIOR RENOVATIONS ON THE 31ST FLOOR OF APPROXIMATELY 5,465 SQ FT",959000.0,,,
20,9215,3/30/2016,15-B-04057,2,0001D00080000000,"625 LIBERTY AVE, PITTSBURGH, PA 15222",LIBERTY AVENUE HOLDINGS LLC,MASCARO CONSTRUCTION COMPANY LP,"ON A 32 STORY STRUCTURE, INTERIOR RENOVATIONS ON THE 31ST FLOOR OF APPROXIMATELY 5,465 SQ FT",959000.0,,,
21,9673,4/12/2016,15-B-03971,16,0030B00200000000,"3400 S WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,MASCARO CONSTRUCTION COMPANY LP,NEW TWO STORY ADDITION TO EXISTING TWO STORY STRUCTURE,2388858.0,,,
22,10454,5/5/2016,16-B-00539,16,0030B00200000000,"3400 S WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS OF 3693 SQ FT IN 2 STORY FOOTBALL TRAINING FACILITY,369052.0,,,
23,10817,5/16/2016,16-B-01096,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATION TO THE 6th FLOOR. EXTERIOR RENOVATION TO INCLUDE REPLACEMENT WINDOWS FOR THE 6th FLOOR,647950.0,,,
24,12959,7/13/2016,16-B-01763,2,0001D00032000000,"600 PENN AVE, PITTSBURGH, PA 15222",PITTSBURGH SYMPHONY SOCIETY,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 2000 FT SQ TO THE FIRST FLOOR ON A FIVE STORY STRUCTURE,450000.0,,,
25,13914,8/1/2016,16-B-01896,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 6240 SQ FT IN OFFICE SPACE ON 2ND FLOOR OF ADMINISTRATION BUILDING TO BALL PARK FACILITY,675000.0,,,
26,15410,9/1/2016,16-B-02659,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,MASCARO CONSTRUCTION COMPANY LP,"ON A FOUR STORY STRUCTURE, INTERIOR RENOVATIONS ON THE FOURTH FLOOR OF 14,264 SQ FT",570000.0,,,
27,15411,9/1/2016,16-B-02659,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,"INTEGRITY DESIGN, LLC","ON A FOUR STORY STRUCTURE, INTERIOR RENOVATIONS ON THE FOURTH FLOOR OF 14,264 SQ FT",570000.0,,,
28,16930,10/3/2016,16-B-01634,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO A 1455 FT SQ OF A MULTI LEVEL STRUCTURE,109429.0,,,
29,17936,11/1/2016,16-D-00296,4,0052N00293000000,"4630 FILMORE ST, PITTSBURGH, PA 15213",CARNEGIE MELLON UNIVERSITY,MASCARO CONTRACTING LP,RAZE 3 STORY SINGLE FAMILY DWELLING,18000.0,,,
30,18632,12/1/2016,16-B-03301,2,0009P00165000000,"1100 LIBERTY AVE, PITTSBURGH, PA 15222",1100 LIBERTY OWNER LLC,MASCARO CONSTRUCTION COMPANY LP,"ON A 13 STORY STRUCTURE, INTERIOR RENOVATION TO EXISTING LEASING OFFICE TO CHANGE TO A FITNESS CENTER FOR TENANT USE ON THE SECOND FLOOR",195515.0,,,
31,18679,12/1/2016,16-M-01282,2,0009P00165000000,"1100 LIBERTY AVE, PITTSBURGH, PA 15222",1100 LIBERTY OWNER LLC,,"DEMOLITION OF EXISTING HEAT PUMPS, NEW HEAT PUMPS WITH SUPPLY / RETURN DUCTWORK, EXHAUST FAN SERVING RESTROOM & SHOWER",31575.0,,,
32,18703,12/1/2016,16-E-02577,2,0009P00165000000,"1100 LIBERTY AVE, PITTSBURGH, PA 15222",1100 LIBERTY OWNER LLC,M & J ELECTRICAL CONTRACTING,ELECTRIC ASSOCIATED WITH 16-E-02577,50000.0,,,
33,18731,12/1/2016,16-F-00411,2,0009P00165000000,"1100 LIBERTY AVE, PITTSBURGH, PA 15222",1100 LIBERTY OWNER LLC,M & J ELECTRICAL CONTRACTING,FIRE ALARM ASSOCIATED WITH 16-B-03301,5500.0,,,
34,19558,1/3/2017,16-B-04529,2,0009P00165000000,"1100 LIBERTY AVE, PITTSBURGH, PA 15222",1100 LIBERTY OWNER LLC,MASCARO CONSTRUCTION COMPANY LP,"(AMENDMENT TO 16-B-03301) ON A 13 STORY STRUCTURE, INTERIOR RENOVATION TO 2250 FT SQ OF EXISTING LEASING OFFICE TO CHANGE TO A FITNESS CENTER FOR TENANT USE ON THE SECOND FLOOR",195515.0,,,
35,19973,1/3/2017,17-F-00009,2,0009P00165000000,"1100 LIBERTY AVE, PITTSBURGH, PA 15222",1100 LIBERTY OWNER LLC,M & J ELECTRICAL CONTRACTING,AMEND EXISTING PERMIT 16-F-00411,6500.0,,,
36,20049,1/3/2017,16-M-01694,2,0009P00165000000,"1100 LIBERTY AVE, PITTSBURGH, PA 15222",1100 LIBERTY OWNER LLC,,AMENDMENT TO 16-M-01282 - HVAC RELATED TO 16-B-04529,31575.0,,,
37,21111,2/1/2017,16-B-04399,3,0002G00092000000,"1339 OUR WAY, PITTSBURGH, PA 15219",URBAN REDEVELOPMENT AUTH OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,FOUNDATION PERMIT ONLY - FUTURE UTILITY (GENERAL) STRUCTURE,2200000.0,,,
38,21820,3/1/2017,17-E-00617,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,LIGHTHOUSE ELECTRIC,"POWER DISTRIBUTION EQUIPMENT & LIGHTING, AMENDMENT TO 16-E-02562 ASSOCIATED WITH 17-B-00503",1365000.0,,,
39,21903,3/1/2017,17-S-00078,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,SIMPLEX GRINNELL LP,"INSTALL NEW SPRINKLERS FOR CHANGED ROOM LAYOUT (3RD, 4TH, 5TH, 6TH, 7TH FLOORS)",107950.0,,,
40,22255,3/1/2017,17-B-00503,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,"(AMENDMENT TO 16-B-03263) INTERIOR RENOVATIONS 3RD, 4TH, 5TH, 6TH, 7TH, 8TH, 11TH AND 15TH FLOORS IN A 34 STORY STRUCTURE",2160767.0,,,
41,22271,3/1/2017,16-M-01269,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,,HVAC ASSOCIATED WITH 16-B-03263,200000.0,,,
42,22571,4/3/2017,17-B-00170,3,0002G00092000000,"1339 OUR WAY, PITTSBURGH, PA 15219",URBAN REDEVELOPMENT AUTH OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,SUPERSTRUCTURE PERMIT ONLY - FUTURE UTILITY (GENERAL) STRUCTURE,1.0,,,
43,23494,5/1/2017,17-B-01313,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,LANDAU BUILDING CO,INTERIOR RENOVATIONS TO SUITES 604 AND 614 ON 6TH FLOOR OF 7 STORY HOSPITAL STRUCTURE,100000.0,,,
44,23698,5/1/2017,17-F-00191,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,M & J ELECTRICAL CONTRACTING INC,RELATED TO 17-B-01313,5000.0,,,
45,23700,5/1/2017,17-E-01447,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,M & J ELECTRICAL CONTRACTING INC,RELATED TO 17-B-01313,35000.0,,,
46,23994,5/1/2017,17-B-00922,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS IN PATIENT UNIT ON LEVEL 3 IN WEST WING OF HOSPITAL,2829655.0,,,
47,24610,5/1/2017,17-S-00237,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,PREFERRED FIRE PROTECTION INC,INSTALL SPRINKLER SYSTEM IN SHY PATIENT RENOVATION RELATED TO 17-B-00922,59670.0,,,
48,24654,5/1/2017,17-M-00603,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,LANDAU BUILDING CO,INTERIOR HVAC RENOVATION OF SUITE 604 AND 614 RELATED TO 17-B-01313,20000.0,,,
49,24655,5/1/2017,17-M-00603,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,RUTHRAUFF SAUER,INTERIOR HVAC RENOVATION OF SUITE 604 AND 614 RELATED TO 17-B-01313,20000.0,,,
50,25295,6/1/2017,17-B-01104,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONTRACTING LP,"AMENDING PERMIT 17-B-00503 - INTERIOR RENOVATIONS 3RD, 4TH, 5TH, 6TH, 7TH, 8TH, 11TH, AND 15TH FLOORS IN A 34 STORY STRUCTURE",2160767.0,,,
51,26763,7/3/2017,17-B-01975,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATIONS TO FLOORS 10, 21, 26, 27, 28, AND 29 IN 34 STORY STRUCTURE",2549053.0,,,
52,27894,8/1/2017,17-B-01807,2,0010A00077000000,"2323 LIBERTY AVE, PITTSBURGH, PA 15222",IRON WORKERS JOINT APPRENTICESHIP AND JOURNEYMAN,MASCARO CONSTRUCTION COMPANY LP,"BUILD NEW 1,310 SQ FT AND 387 SQ FT 2 STORY ADDITIONS ON WESTERLY SIDE AND 4,575 SQ FT 2ND FLOOR ADDITION ON EXISTING 1 STORY STRUCTURE",2000000.0,,,
53,29321,10/2/2017,17-B-03303,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,"(AMENDING 17-B-01104) INTERIOR RENOVATIONS TO FLOORS 3 THROUGH 8, FLOOR 11, AND FLOOR 15 IN 34 STORY STRUCTURE",2160767.0,,,
54,29536,10/2/2017,17-M-00773,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,HRANEC SHEET METAL,"REPLACEMENT OF DUCT, VAVS, DIFFUSERS, AND EXHAUSTS - RELATED TO 17-B-01975",225000.0,,,
55,29672,10/2/2017,17-B-03749,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,"(AMENDING 17-B-01975) INTERIOR RENOVATIONS TO FLOORS 10, 13, 21, 26, 27, 28, AND 29 IN 34-STORY STRUCTURE",316603.81,,,
56,30382,11/1/2017,17-B-04100,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,SHANNON CONSTRUCTION,"INTERIOR WORK FOR TENANT FIT OUT FOR UNIT C AND C1. EXTERIOR DOORS, AND BUILD AN EXTERIOR RAMP AT NORTHWESTERLY CORNER OF STRUCTURE",255000.0,,,
57,30386,11/1/2017,17-E-03213,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,SARGENT ELECTRIC CO.,NEW FIXTURES AND OUTLETS RELATED TO PERMIT 17-B-01354,36621.0,,,
58,30423,11/1/2017,17-S-00559,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,ALLIANCE FIRE SYSTEMS INC,"RELATED 17-B-01354 & 17-B-00966, REPLACE UPRIGHT HEADS WITH PENDENT HEADS",6000.0,,,
59,30915,11/1/2017,17-S-00573,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,ALLIANCE FIRE SYSTEMS INC,MODIFY SPRINKLER SYSTEM FOR NEW KITCHEN ON LEVEL C RELATED TO 17-B-04100,14000.0,,,
60,30965,11/1/2017,17-F-00473,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,SARGENT ELECTRIC CO.,ADD/MODIFY FIRE ALARM DEVICES,5100.0,,,
61,31040,11/1/2017,17-B-04618,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,MASCARO CONSTRUCTION COMPANY LP,(AMENDING PERMIT 12-B-01484) RENOVATION OF FORMER CONNELLY SCHOOL FOR CORE AND SHELL FOR FUTURE TENANT FIT -OUT,8528417.0,,,
62,31624,12/1/2017,17-M-01867,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,MCKAMISH,AMENDING PERMIT 17-M-01390-HVAC SYSTEM ALTERATIONS/NEW EQUIPMENT ASSOICATED WITH 17-B-04525-ENERGY INSP/COMCHECK-2009 IECC,26660.0,,,
63,31797,12/1/2017,17-B-04525,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,MASCARO CONSTRUCTION COMPANY LP,(AMENDED 17-B-03255) INTERIOR RENOVATIONS TO FIRST AND SECOND FLOORS AND EXTERIOR RENOVATIONS TO EXTERIOR DEMOLITION OF ATM MACHINE AND CANOPY AND ISLAND AND BOLLARD AND FILL WITH IN-KIND BRICK FOR EXISTING FOUR-STORY STRUCTURE (BUILDING FOOTPRINT TO REMAIN THE SAME),302376.0,,,
64,31798,12/1/2017,17-B-04525,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,"INTEGRITY DESIGN, LLC",(AMENDED 17-B-03255) INTERIOR RENOVATIONS TO FIRST AND SECOND FLOORS AND EXTERIOR RENOVATIONS TO EXTERIOR DEMOLITION OF ATM MACHINE AND CANOPY AND ISLAND AND BOLLARD AND FILL WITH IN-KIND BRICK FOR EXISTING FOUR-STORY STRUCTURE (BUILDING FOOTPRINT TO REMAIN THE SAME),302376.0,,,
65,31799,12/1/2017,17-S-00608,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,PREFERRED FIRE PROTECTION INC,ADD AND RELOCATE SPRINKLER HEADS FOR MODIFIED CEILING LAYOUT (RELATED TO 17-B-03255),11856.0,,,
66,32569,1/2/2018,17-B-05173,3,0002G00092000000,"1339 OUR WAY, PITTSBURGH, PA 15219",URBAN REDEVELOPMENT AUTH OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,(AMENDING 17-B-01430) USE OF TWO STORY STRUCTURE AS UTILITY (GENERAL) WITH COOLING TOWER AND BOILER FLUE STACKS AND EXTERIOR STAIRWAY ON WESTERLY SIDE AND EXTERIOR DOOR REMOVAL,0.0,,,
67,33333,2/1/2018,17-F-00382,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,WELLINGTON POWER CORP,REPLACE EXISTING FIRE ALARM WITH NEW IN JAMES STREET GARAGE,50000.0,,,
68,33353,2/1/2018,18-B-00220,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO REPLACE WASHER/STERILIZEERS AND RETURN CONVEYOR IN CENTRAL STERILE DEPT ON 2ND FLOOR OF HOSPITAL,90000.0,,,
69,33664,2/1/2018,18-M-00048,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MCKAMISH,RELATED TO 17-B-04827,4947.0,,,
70,33738,2/1/2018,18-B-00131,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO ER ROOMS ON 2ND AND 3RD FLOORS OF SNYDER PAVILLION IN HOSPITAL,385000.0,,,
