,OldIndex,IssueDate,"Permitm,No.",Ward,Parcel,Address,Owner,Contractor,WorkDescription,Cost,SNPNeighborhood(partial),TypeofWork(partial),TypeofStructure(partial)
71,33914,3/1/2018,18-OCC-00050,3,0002G00092000000,"1339 OUR WAY, PITTSBURGH, PA 15219","NRG ENERGY CENTER PITTSBURGH, LLC",MASCARO CONSTRUCTION COMPANY LP,"TEMPORARY OCCUPANCY (EXPIRES JULY 29, 2018) REFERENCE TO 17-B-5173",0.0,,,
72,34737,4/3/2018,18-B-00071,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATIONS TO FLOORS 2, 12, 14, 16, AND 20 IN 34-STORY STRUCTURE",1833000.0,,,
73,34755,4/4/2018,18-B-00605,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 906 SQ FT LINEAR ACCELERATOR AND ADJACENT ROO & EQUIPMENT ON 2ND FLOOR IN NORTHWEST WING,430000.0,,,
74,34756,4/4/2018,18-B-00866,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,RADELET MCCARTHY INC.,AMENDING PERMIT 17-B-04127 - INTERIOR RENOVATIONS TO 8500 SQ FT ON LEVEL 2 FOR NEW TREATMENT VAULT AND SUPPORT SPACES IN HOSPITAL,10000.0,,,
75,34757,4/4/2018,18-B-00866,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,AMENDING PERMIT 17-B-04127 - INTERIOR RENOVATIONS TO 8500 SQ FT ON LEVEL 2 FOR NEW TREATMENT VAULT AND SUPPORT SPACES IN HOSPITAL,10000.0,,,
76,34790,4/4/2018,18-E-00527,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,LIGHTHOUSE ELECTRIC CO,ELECTRIC RELATED TO 18-B-00605,180000.0,,,
77,34945,4/10/2018,18-B-00026,2,0010A00077000000,"2323 LIBERTY AVE, PITTSBURGH, PA 15222",IRON WORKERS JOINT APPRENTICESHIP AND JOURNEYMAN <BR>RETRAINING COMMITTEE OF WESTERN PENNSYLVANIA<BR>(TRUSTEE),MASCARO CONSTRUCTION COMPANY LP,"AMENDMENT TO 17-B-01807 (SAME WORK AND OCCUPANCY DESCRIPTION, REVISED SITE PLAN AND ELEVATIONS)",3313301.0,,,
78,35255,4/18/2018,17-B-04338,2,0002E00053000000,"425 FORBES AVE, PITTSBURGH, PA 15219",400 5TH AVE L P                                                                                                                                                                                                             ,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO FIRST FLOOR/LOBBY IN EXISTING 14 STORY STRUCTURE,128836.0,,,
79,36083,5/11/2018,17-B-01861,2,0009P00165000000,"1100 LIBERTY AVE, PITTSBURGH, PA 15222",1100 LIBERTY OWNER LLC,MASCARO CONSTRUCTION COMPANY LP,AMENDING PERMIT 16-B-04039 - INTERIOR RENOVATIONS TO 6088 SQ FT OF ENTRANCE LOBBIES AND ELEVATOR LOBBIES RELOCATION OF MAILBOXES FROM CONCOURSE LEVEL TO ELEVATOR LOBBY ON LOWER CONCOURSE LEVEL,550360.0,,,
80,36237,5/16/2018,18-B-00883,22,0008J00020000000,"120 Art Rooney AVE, PITTSBURGH, PA ",SPORTS & EXHIBITION AUTH OF PITTSBURGH   <BR>ALLEGHENY COUNTY,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS. ADDITION ON SOUTHEAST CORNER (APPROXIMATELY 2100 SF).,818627.0,,,
81,36391,5/22/2018,18-B-01127,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 12411 SQ FT AS OFFICE SPACE ON 36TH FLOOR IN 46 STORY STRUCTURE,675000.0,,,
82,36627,5/31/2018,18-S-00224,16,0030B00200000000,"3400 SOUTH WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,"ABEL FIRE PROTECTION, INC.",RELOCATION OF SPRINKLER HEADS IN LOCKER ROOM (RELATED TO 18-B-01282),2800.0,,,
83,36651,5/31/2018,18-B-01282,16,0030B00200000000,"3400 SOUTH WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATIONS TO 2230 SQ FT TO LAVATORY, TOILET AND SHOWER AREAS OF LOCKER ROOM FOR UNIV OF PGH SIDE OF ONE STORY STRUCTURE",409830.0,,,
84,36728,6/1/2018,18-B-00443,21,0022J00125000000,"1720 METROPOLITAN ST, PITTSBURGH, PA 15233",JCM PROPERTIES,GRUNAU COMPANY INC,CONSTRUCTION OF SECOND FLOOR ADDITION OF OFFICE USE AND NEW 46 SPACE ACCESSORY SURFACE PARKING LOT.,4000000.0,,,
85,36730,6/1/2018,18-B-00443,21,0022J00125000000,"1720 METROPOLITAN ST, PITTSBURGH, PA 15233",JCM PROPERTIES,MASCARO CONSTRUCTION COMPANY LP,CONSTRUCTION OF SECOND FLOOR ADDITION OF OFFICE USE AND NEW 46 SPACE ACCESSORY SURFACE PARKING LOT.,4000000.0,,,
86,37590,6/27/2018,17-B-03918,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 1336 SF ON SECOND FLOOR (2700 STE) AND REPLACEMENT SKYLIGHT IN EXISTING HOSPITAL,860002.0,,,
87,39142,8/1/2018,18-S-00389,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,PREFERRED FIRE PROTECTION INC,AMENDING PERMIT 18-S-00315 INSTALL NEW PRE-ACTION SYSTEM,43300.0,,,
88,39323,8/1/2018,18-F-00200,22,0023M00012000000,"320 NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,WELLINGTON POWER CORP,REPLACE FIRE ALARM THROUGHOUT PARKING GARAGE,60000.0,,,
89,39616,8/1/2018,18-D-00160,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,NORALCO CORPORATION,"RAZE SINGLE STORY STRUCTURE LOCATED BETWEEN NORTHWEST WING, SOUTH TOWER AND GARAGE",89524.0,,,
90,39825,8/1/2018,18-B-02620,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO SOUTH TOWER THIRD FLOOR (9200 SF) AT A 22 STORY HOSPITAL,1.0,,,
91,40188,9/13/2018,18-B-02564,2,0001D00012000000,"120 5TH AVE, PITTSBURGH, PA 15222",PGH NATIONAL BANK TRUSTEE,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATION OF 29TH FLOOR,580475.0,,,
92,40315,9/14/2018,18-B-03178,4,0028F00206000000,"3420 FORBES AVE, PITTSBURGH, PA 15213",MURWEST LLC,MASCARO CONSTRUCTION COMPANY LP,"(AMEND 17-B-03921 AND 18-B-02845 TO REPLACE)  NEW 8 STORY BUILDING FOR CORE AND SHELL.  13 INTEGRAL PARKING SPACES; TWO INTEGRAL LOADING SPACES, AND 22 PROTECTED BIKE PARKING SPACES.  USE OF EXISTING SURFACE PARKING LOTS AT 201 COLTART (PARCEL 28-F-280) 14 SPACES; PARCEL 28-F-262 12 SPACES; AND PARCEL 28-F-255 16 SPACES.",15968388.0,,,
93,41081,10/5/2018,18-B-02622,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,"(AMENDING 17-B-03918)
INTERIOR RENOVATIONS TO 1336 SF ON SECOND FLOOR (2700 STE)  EXTERIOR RENOVATIONS TO REMOVE SKY-LITE AND IN-FILL ROOF  IN EXISTING HOSPITAL",202552.0,,,
94,42006,11/1/2018,18-B-03193,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS  FLOORS 1 THRU 6  (1670 SF)   INFILL OF EXISTING SHAFT TO CONSTRUCT NEW TELE-DATA CLOSET FOR ALL FLOORS OF THE HOSPITAL,149000.0,,,
95,42620,11/21/2018,18-B-03613,21,0022J00125000000,"1720 METROPOLITAN ST, PITTSBURGH, PA 15233",JCM PROPERTIES,MASCARO CONTRACTING LP,(AMENDING 18-B-00443) CONSTRUCTION OF SECOND FLOOR ADDITION OF OFFICE USE AND NEW 46 SPACE ACCESSORY SURFACE PARKING LOT. INTERIOR RENOVATIONS TO EXISTING AND NEWLY CONSTRUCTED CORE AND SHELL AND NEWLY CONSTRUCTED 46 SPACE ACCESSORY SURFACE PARKING LOT.,4000000.0,,,
96,42915,12/3/2018,18-B-03484,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,"(AMENDING 18-B-00071)  INTERIOR RENOVATIONS TO FLOORS 2, 12, 14, 16, AND 20 IN 34-STORY STRUCTURE",1885471.0,,,
97,42952,12/4/2018,18-B-03312,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 5TH FLOOR (1500 SF) ONLY AT A  COMMERCIAL STRUCTURE,161619.0,,,
98,43180,12/12/2018,18-B-02862,4,0052N00240000000,"4665 FORBES AVE, PITTSBURGH, PA 15213",CARNEGIE MELLON UNIVERSITY,MASCARO CONSTRUCTION COMPANY LP,"FOUNDATION WALLS, SUPERSTRUCTURE, AND SITE UTILITY INFRASTRUCTURE.",3500000.0,,,
99,43181,12/12/2018,18-B-02558,4,0052N00240000000,"4665 FORBES AVE, PITTSBURGH, PA 15213",CARNEGIE MELLON UNIVERSITY,MASCARO CONSTRUCTION COMPANY LP,DEEP FOUNDATION ONLY,200000.0,,,
100,43556,12/21/2018,18-B-04053,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS (15404 SF)  23 FLOOR   FOR OFFICE AND CONFERENCE ROOMS AT A COMMERCIAL STRUCTURE,629450.0,,,
101,43636,12/27/2018,18-B-00132,2,0002E00053000000,"425 FORBES AVE, PITTSBURGH, PA 15219",A M PITT HOTEL LLC,MASCARO CONSTRUCTION COMPANY LP,AMENDING PERMIT 16-B-02648 - INTERIOR RENOVATIONS FOR NEW HOTEL USE ON 5TH AND 6TH FLOORS,4554959.0,,,
102,43902,1/7/2019,18-B-04491,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,"(AMENDING PERMIT 18-B-02622))
INTERIOR RENOVATIONS TO 1336 SF ON SECOND FLOOR (2700 STE)  EXTERIOR RENOVATIONS TO REMOVE SKY-LITE AND IN-FILL ROOF  IN EXISTING HOSPITAL",202582.0,,,
103,44064,1/10/2019,18-B-04579,14,0052K00227000000,"4802 5TH AVE, PITTSBURGH, PA 15213",CARNEGIE MELLON UNIVERSITY,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATION ON 1ST FLOOR OF A COMMERICAL STRUCTURE,75000.0,,,
104,44292,1/17/2019,18-B-04021,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,"(AMENDING PERMIT 17-B-04716)  INTERIOR  RENOVATIONS TO EXISTING SPACE , GROUND FLOOR- LEVEL G, TO INCLUDE EXPANSION OF PHARMACY, WORKROOM, OFFICE AND STORAGE AREA  AND REPLACE FIREPROOFING THAT WAS REQUIRED DUE TO ASBESTOS ABATEMENT AT A HOSPITAL",709288.0,,,
105,44325,1/18/2019,18-B-03965,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,MASCARO CONTRACTING LP,INTERIOR RENOVATIONS  LEVEL 1  (7700 SF)  FOR STERILE PROCESSING DEPARTMENT AT A COMMERCIAL STRUCTURE,684469.0,,,
106,44480,1/24/2019,18-B-03364,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS 25TH FLOOR  (15466 SF)  OFFICE SPACE AT A 34-STORY STRUCTURE,627271.0,,,
107,44481,1/24/2019,18-B-02171,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATIONS. EXTERIOR RENOVATIONS TO INCLUDE ADDITIONS (TWO VESTIBULES AND ATM ENCLOSURE), FAÃ‡ADES, WINDOWS, DOORS, AND CANOPIES ON THE GROUND FLOOR.",490671.15,,,
108,44842,2/6/2019,18-B-04102,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH 15232",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATIONS (1300 SF) LEVEL G,  FOR CT ROOM, CT CONTROL ROOM, HDR CONTROL ROOM AND CORRIDOR UPGRADE  AT A HOSPITAL",121300.0,,,
109,44843,2/6/2019,18-B-04102,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH 15232",SHADYSIDE HOSPITAL,VOLPATT CONSTRUCTION CORPORATION,"INTERIOR RENOVATIONS (1300 SF) LEVEL G,  FOR CT ROOM, CT CONTROL ROOM, HDR CONTROL ROOM AND CORRIDOR UPGRADE  AT A HOSPITAL",121300.0,,,
110,44931,2/8/2019,18-L-00009,1,0002M00310000000,"1626 LOCUST ST, PITTSBURGH, PA 15219",UPMC MERCY,MASCARO CONSTRUCTION COMPANY LP,LAND OPERATIONS EXCAVATION/FILL/GRADING/SITE PREPARATION FOR FUTURE HOSPITAL BUILDING,7922000.0,,,
111,44963,2/11/2019,19-B-00087,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 4142 SF OF FOURTH FLOOR IN EXISTING STRUCTURE,236152.0,,,
112,44982,2/11/2019,19-M-00030,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,HUCKESTEIN MECHANICAL SERVICES,REPLACEMENT AND ADDITION OF VARIABLE VOLUME BOX WITH HOT WATER REHEAT REPLACE DIFFUSERS RELATED TO 19-B-00087,247177.0,,,
113,45185,2/15/2019,19-B-00509,22,0023R00050000001,"6 ALLEGHENY SQ, PITTSBURGH, PA 15212",FOUR ALLEGHENY ASSOCIATES LP,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR DEMOLITION ON 2880 SF OF GROUND, 1ST, AND 1ST FLOOR MEZZANINE IN A THREE STORY STRUCTURE",52739.0,,,
114,46276,3/20/2019,19-B-00667,22,0023R00157000000,"6 ALLEGHENY SQ E, PITTSBURGH, PA 15212",CITY OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,AMENDING PERMIT 18-B-02161  INTERIOR RENOVATIONS AND EXTERIOR RENOVATIONS TO REPLACE WINDOWS AND DOORS AT AN EXISTING STORY STRUCTURE,4293916.0,,,
115,46278,3/20/2019,19-PLC-00035,22,0023R00157000000,"6 ALLEGHENY SQ E, PITTSBURGH, PA 15212",CITY OF PITTSBURGH,,NEW PLACARD - 200 OCCUPANTS - THIRD FLOOR LEVEL -MULTI PURPOSE 203 CHILDRENS MUSEUM ASSOCIATED WITH 19-B-00667,0.0,,,
116,46279,3/20/2019,19-PLC-00034,22,0023R00157000000,"6 ALLEGHENY SQ E, PITTSBURGH, PA 15212",CITY OF PITTSBURGH,,NEW PLACARD - 77 OCCUPANTS - 2ND FLOOR LEVEL -EXHIBIT 211 CHILDRENS MUSEUM ASSOCIATED WITH 19-B-00667,0.0,,,
117,46281,3/20/2019,19-PLC-00033,22,0023R00157000000,"6 ALLEGHENY SQ E, PITTSBURGH, PA 15212",CITY OF PITTSBURGH,,NEW PLACARD - 92 OCCUPANTS - SECOND FLOOR LEVEL -EXHIBIT 202 CHILDRENS MUSEUM ASSOCIATED WITH 19-B-00667,0.0,,,
118,46282,3/20/2019,19-PLC-00031,22,0023R00157000000,"6 ALLEGHENY SQ E, PITTSBURGH, PA 15212",CITY OF PITTSBURGH,,NEW PLACARD - 105 OCCUPANTS - FIRST FLOOR LEVEL -EXHIBIT 104 CHILDRENS MUSEUM ASSOCIATED WITH 19-B-00667,0.0,,,
119,46284,3/20/2019,19-OCC-00084,22,0023R00157000000,"6 ALLEGHENY SQ E, PITTSBURGH, PA 15212",CITY OF PITTSBURGH,,,0.0,,,
120,46288,3/20/2019,19-PLC-00032,22,0023R00157000000,"6 ALLEGHENY SQ E, PITTSBURGH, PA 15212",CITY OF PITTSBURGH,,NEW PLACARD - 76 OCCUPANTS - FIRST FLOOR LEVEL -EXHIBIT 111 CHILDRENS MUSEUM ASSOICATED WITH 19-B-00667,0.0,,,
121,46350,3/22/2019,18-B-02872,2,0009P00025000000,"1000 FORT DUQUESNE BLVD, PITTSBURGH, PA 15222",SPORTS & EXHIBITION AUTH OF PITTSBURGH &ALLEGHENY COUNTY,MASCARO CONSTRUCTION COMPANY LP,ROOF REPLACEMENT.,3341401.0,,,
122,46437,3/26/2019,19-B-01085,7,0084F00164000000,"141 S HIGHLAND AVE, PITTSBURGH, PA 15206",STEVENSON BUILDING LP,MASCARO CONSTRUCTION COMPANY LP,INTERIOR (NON-STRUCTURAL) DEMO 2ND AND 3RD FLOOR AT A THREE STORY STRUCTURE,2000.0,,,
123,46816,4/4/2019,19-B-00237,22,0023R00157000000,"6 ALLEGHENY SQUARE EAST, #101 ",ALLEGHENY CITY,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATION OF 960 SQ FT ON THE GROUND FLOOR AND 1,920 SQ FT ON THE 1ST FLOOR AT AN EXISTING COMMERICAL STRUCTURE",149298.0,,,
124,47126,4/15/2019,19-B-00436,4,0028F00206000000,"3420 FORBES AVE, PITTSBURGH, PA 15213",MURWEST LLC,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATIONS TO 13,039 SF OF 2ND FLOOR IN AN 8 STORY STRUCTURE",540000.0,,,
125,47388,4/22/2019,19-B-00386,7,0084F00164000000,"141 S HIGHLAND AVE, PITTSBURGH, PA 15206",STEVENSON BUILDING LP,MASCARO CONSTRUCTION COMPANY LP,"IN-KIND REPLACEMENT WINDOWS AND DOORS, AND INTERIOR FIT OUT ON SECOND AND THIRD FLOOR OF AN EXISTING STRUCTURE",1708004.0,,,
126,48459,5/22/2019,19-B-01531,14,0085N00070000000,"1300 INVERNESS AVE, PITTSBURGH, PA 15217",ROONEY ARTHUR J II & MARY GRETA KIMBALL ROONEY (W,MASCARO CONSTRUCTION COMPANY LP,RESURFACING POOL AND PATIOS AND REBUILDING 2 RETAINING WALLS IN-KIND AT REAR OF A 2-STORY SINGLE DWELLING,0.0,,,
127,49012,6/1/2019,18-S-00651,1,0002-M-00070-0000-00,"1400 LOCUST ST, Pittsburgh, 15219-",MERCY HOSPITAL OF PITTSBURGH,GRUNAU COMPANY INC,"DEMO EXISTING SPRINKLER SYSTEM AND REPLACE WITH NEW EQUIPMENT. RELOCATE SUPPLY LINES AND 29 HEADS ONLY, NO NEW HEADS.",7500.0,ADDITION / ALTERATION,Commercial - All other uses,
128,49018,6/1/2019,19-S-00099,1,0002-M-00070-0000-00,"1400 LOCUST ST, Pittsburgh, 15219-",MERCY HOSPITAL OF PITTSBURGH,JOHNSON CONTROLS FIRE PROTECTION LP,SPRINKLER ALTERATIONS ON 8TH FLOOR (RELATED 19-B-00461),8000.0,ADDITION / ALTERATION,Commercial - All other uses,
129,49020,6/1/2019,19-F-00184,1,0002-M-00070-0000-00,"1400 LOCUST ST, Pittsburgh, 15219-",MERCY HOSPITAL OF PITTSBURGH,M&J ELECTRICAL CONTRACTING INC.,NEW NOTIFICATION DEVICES - RELATED 19-B-00670,19450.0,ADDITION / ALTERATION,Commercial - All other uses,
130,49028,6/1/2019,19-B-00946,1,0002-M-00070-0000-00,"1400 LOCUST ST, Pittsburgh, 15219-",MERCY HOSPITAL OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,"RELCOATION OF HELIPAD.  ADDITION FOR HELIPAD, ELEVATOR AND STAIRS ON ROOF.",0.0,ADDITION / ALTERATION,Commercial - All other uses,
131,49032,6/1/2019,19-E-01402,1,0002-M-00070-0000-00,"1400 LOCUST ST, Pittsburgh, 15219-",MERCY HOSPITAL OF PITTSBURGH,CLISTA ELECTRIC INC,ELECTRICAL ALTERATIONS,980000.0,ADDITION / ALTERATION,Commercial - All other uses,
132,49772,7/1/2019,18-B-04723,4,0052-N-00240-0000-00,"4665 FORBES AVE, Pittsburgh, 15213-",CARNEGIE MELLON UNIVERSITY,MASCARO CONSTRUCTION COMPANY LP,NEW 5-STORY BUILDING - CORE AND SHELL AND FIT-OUT EXCEPT FOR PARTIAL 1ST FLOOR TO REMAIN CORE AND SHELL,11023566.0,NEW CONSTRUCTION,Commercial - All other uses,
133,49785,7/1/2019,18-E-03360,4,0052-N-00240-0000-00,"4665 FORBES AVE, Pittsburgh, 15213-",CARNEGIE MELLON UNIVERSITY,FERRY ELECTRIC COMPANY,COMPLETE BUILDING ELECTRICAL FIT-OUT - RELATED TO 18-B-04723,3070000.0,NEW CONSTRUCTION,Commercial - All other uses,
134,49902,7/1/2019,18-M-01624,4,0052-N-00240-0000-00,"4665 FORBES AVE, Pittsburgh, 15213-",CARNEGIE MELLON UNIVERSITY,RUTHRAUFF SAUER LLC,HVAC RELATED TO 18-B-04723,2131000.0,NEW CONSTRUCTION,Commercial,
135,49907,7/1/2019,18-F-00499,4,0052-N-00240-0000-00,"4665 FORBES AVE, Pittsburgh, 15213-",CARNEGIE MELLON UNIVERSITY,FERRY ELECTRIC COMPANY,FIRE ALARM RELATED TO 18-B-04723,267000.0,NEW CONSTRUCTION,Commercial - All other uses,
136,50168,8/1/2019,BP-2019-03495,16,0012-R-00058-0000-00,"2300 JANE ST, Pittsburgh, 15203-",BERGER ALLISON F,MASCARO CONSTRUCTION COMPANY LP,,88676.0,South Side Flats,MINOR ALTERATION,Commercial - All other uses
137,50335,8/6/2019,18-B-04492,12,0171-E-00150-0000-00,"815 FREEPORT RD, Pittsburgh, 15215-",CITY OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,"(AMEND 18-B-03193)  INTERIOR RENOVATIONS FLR 1- 6 (1670 SF) INFILL OF EXIST ELEVATOR SHAFT TO CONSTRUCT NEW TELE-DATA CLOSETS FOR ALL FLRS , BLDG 100/200 OF THE HOSPITAL, DEMO EXIST TELE-DATA CLOSETS AND ROUTE TO NEW",648135.0,Lincoln-Lemington-Belmar,ADDITION / ALTERATION,Commercial - All other uses
138,50563,8/14/2019,19-E-00366,7,0084-F-00164-0000-00,"6000 CENTRE AVE, Pittsburgh, 15206-",STEVENSON BUILDING LP,"Hazel & Buehler, Inc","ELECTRIC RELATED TO 19-B-00386. 
RENOVATIONS TO 2ND & 3RD FLOORS",210000.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
